# Generated from bridge-api/decision-governance. Do not hand-edit.
decisionHistoryRecordId,governanceEventId,eventType,subjectType,subjectId,actorType,eventSequence,previousEventId,eventHash,chainHash
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.001.history_record_created,HISTORY_RECORD_CREATED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,1,,709e1d936bca7637fb234bcb78820c582e6be9e35d500f21accfad5f4b10f400,90ca047b64dad3e6584beaa5a9c5447cba0147b134508e879f2f8dc9103911d5
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.002.decision_recorded,DECISION_RECORDED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,2,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.001.history_record_created,8e1d9d4e56e8f391d9f1daee05c69d1b0a709aded7654662568a6c7a38a6adeb,4b88601b44675a496bd9a4382eb1e88bf6e55f4ac10bec133466b7db287f9f0e
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.003.review_requested,REVIEW_REQUESTED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,3,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.002.decision_recorded,efe5c4b905d65fb3c32e7a3ea0318d3886ebdb203f390bbb0ec3d33bd0795f7e,45badb7cd5d7d09129cf35ab98b20735d03a33ccb2ac5a16859b5f469c36a5bb
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.004.review_completed,REVIEW_COMPLETED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,REVIEWER,4,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.003.review_requested,dc1b362be62db2a26a76d61f63cf4fcd54b19a57f62d895d862186b0e850920b,5544cde59251556ef5ac1deff775383b4f9dcfac872cec9c6f06f8cc2ed0339f
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.005.evidence_stale_detected,EVIDENCE_STALE_DETECTED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,5,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.004.review_completed,1793039560faf23c6a8197a96fa4a649e73f750c9da3fc3c87fffdb47d9c1a64,5d970503eeb952e07d466f612c438b9f14f3821706b56fe8c028b12167efd453
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.006.policy_drift_detected,POLICY_DRIFT_DETECTED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,6,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.005.evidence_stale_detected,e95ac80b321bb43976add7b7c27e8a233b49b9ab3337a2a77e5dfb04ff16d9d5,28f657dae1ee6fa2f6ede305563d37b738d497694a8ca044ba41629aa4581941
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.007.finding_recorded,FINDING_RECORDED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,REVIEWER,7,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.006.policy_drift_detected,a7d69ed90408ef6e5c1f92dcff6faaa51abe8488b8896bae14d5cc5eb4c29c86,a50c3d063bc8ab1ee96c840ca3f0ec57b5e72a38df338ea10f1afd298294335e
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.008.remediation_linked,REMEDIATION_LINKED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,REVIEWER,8,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.007.finding_recorded,0fd8f5529b7e410b50015bec41abb3f85bb6d5c0fe085ceccaca0aa721fed07f,bc089b224e77177545519e758ab2553389764bfba4d6118aade0a18ad0591edc
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.009.replay_requested,REPLAY_REQUESTED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,9,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.008.remediation_linked,9d8c18cc3c7928aac3c80f2bb0921bd664d6465e1f269f7ef09f70eb2b419a29,ea059ed8908a6c30b5064b6a1b7738f6d162c6eaad475e64c57cabebef370e85
history.decision.structured_response.fail_closed.offline.v1.record.v1,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.010.replay_completed,REPLAY_COMPLETED,EXECUTION_DECISION_RECORD,decision.structured_response.fail_closed.offline.v1.record.v1,SYSTEM,10,history.decision.structured_response.fail_closed.offline.v1.record.v1.event.009.replay_requested,dbd563c1db072d289457819ddfa8ddf5d43f3c239a92cd55878485a508a9ec7e,a89a2901f11383fc794f2900fad85f09925f4dfcef663db55cc1c6baf46dcb4e
