# Generated from bridge-api/intelligence-knowledge-graph. Do not hand-edit.
edgeId,sourceNodeId,relationshipType,targetNodeId,relationshipVersion,relationshipConfidence,relationshipSource,testOnly,relationshipHash
edge:a8f0287b60e4074576ec,Package:bridge-api,IMPLEMENTS,Service:intelligence-execution-platform,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,3d5d9bf722aac5cc68741138e62a24e3c19276ad25d6acf4577f02387c906105
edge:1cb600811081e60d89d6,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:CACHE,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,cf314b0d9caa349ef3f77ef812f0d78f3f0c0c055a9d040e08917010efaace41
edge:930cccc2145b8157bc70,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:DETERMINISTIC_RULES,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,5db5134efcc52de1cf48b5ae399471896a2f08d8360bcb6552e1a8e0809fb786
edge:b4a9610b1e30356ef5b9,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:SQL_ANALYTICS,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,91fd769a143b5a80fb3095f6082d3f2b484c9c0f61824431533509acd16da1e1
edge:5a771fd272a243267455,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:STATISTICAL_MODEL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,b1ee3545fffc3022d8946407551c38530987e3e87006e74fd0c4792a240a57c9
edge:bec03505a2bba5d45339,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:GEOSPATIAL_ENGINE,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,50b85953c107721818797035c42c87c5fbbcb4ecc422c074d6d238d4048ef02e
edge:72c037c63e8c058765a2,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:OPTIMIZATION_ENGINE,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1d76611bcdfb99e80dfb875c20bc58d8dd385116c4076e23e4f231f73930e9ca
edge:cbe42266e42a8b887300,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:CONVENTIONAL_ML,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,c44a333f2707ca895b43cff73c3e6a3be317fb33284ef811849ff4c3fdbba31b
edge:1ec9680339dfc2b9ab81,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:LOCAL_MODEL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,1797e3c17cb23f0979362b18f2db9ee5c672bfc27283c6f423d761e675e2ec0a
edge:4fe7673c497230c131e8,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:HOSTED_ECONOMY_MODEL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,28f1427cd8d4572a781cf9409d29be486398edd3d7ea1c23ae96f271852942e6
edge:86d7c67a7381c9bde709,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:HOSTED_BALANCED_MODEL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,7a8b35cf1269ed4410155ea45c2a9fb447534fddd18ff9b154026e05a19d5ec3
edge:65b02e168b6b4bafc24a,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:HOSTED_PREMIUM_MODEL,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,b1db7ab0673e421720f58e03465e10a28aaa4b1e339de91b8af2a8d2ea692d51
edge:ae361d6a37a44a632777,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:MULTI_MODEL_WORKFLOW,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,3cfb5cc37b04a6180c7bf73f1bc2f6d4a1c8ebc11a292fed0e69b40c429a24fe
edge:46274cfa20b9fdf245e7,Service:intelligence-execution-platform,ALLOWS,Execution Strategy:HUMAN_REVIEW,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,7f7f1e96030c16f2be8a92933e2d0e1d2771634dea6b491a769556adca8393fe
edge:f167b121d78262c05c32,Service:intelligence-execution-platform,ALLOWS,Execution Profile:DETERMINISTIC_ONLY,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,90c079430f1451ea505071fdab4b9a03eab76b2eb858c343d9f83afdb46a4e96
edge:5431b284aa4fbc970594,Service:intelligence-execution-platform,ALLOWS,Execution Profile:ULTRA_LOW_COST,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,e72a3d0bbaf17389fb5503e8d9e1a2ca9a3e0af24264725eae4ebd4c3022f987
edge:09db0fcf15e90747b3c0,Service:intelligence-execution-platform,ALLOWS,Execution Profile:BALANCED,0.1.0,DETERMINISTIC,intelligence.knowledge.graph.engine.v1,true,130d32c2e6648a61947fafa2f37b435d3d33996b07309ee125024dbfa84d988b
