"Path","Category","Size"
".env","G. Sensitive/local-only configuration","366"
".env.example","G. Sensitive/local-only configuration","351"
".gitignore","C. Build/configuration files","602"
"app.config.js","C. Build/configuration files","2395"
"App.js","A. Source code","1328"
"app.json","A. Source code","1237"
"eas.json","C. Build/configuration files","869"
"index.js","A. Source code","307"
"LICENSE","D. Compliance and documentation","493"
"package-lock.json","C. Build/configuration files","312082"
"package.json","C. Build/configuration files","2147"
"PROJECT_STATUS.md","D. Compliance and documentation","9213"
"ROAD_TEST_CHECKLIST.md","D. Compliance and documentation","2427"
"THIRD_PARTY_NOTICES.md","D. Compliance and documentation","535"
"truck-marker-current-preview.png","E. Generated artifacts","7367"
"truck-safe-routing-assigned-route-fix-apk-qr.png","E. Generated artifacts","905"
"truck-safe-routing-black-icon-apk-qr.png","E. Generated artifacts","920"
"truck-safe-routing-dashboard-camera-apk-qr.png","E. Generated artifacts","1073"
"truck-safe-routing-driver-session-apk-qr.png","E. Generated artifacts","1057"
"truck-safe-routing-employee-id-inventory-apk-qr.png","E. Generated artifacts","5225"
"truck-safe-routing-final-audit-apk-qr.png","E. Generated artifacts","909"
"truck-safe-routing-global-settings-apk-qr.png","E. Generated artifacts","920"
"truck-safe-routing-hazard-report-apk-qr.png","E. Generated artifacts","925"
"truck-safe-routing-inventory-staff-apk-qr.png","E. Generated artifacts","5190"
"truck-safe-routing-itemized-return-apk-qr.png","E. Generated artifacts","5189"
"truck-safe-routing-latest-apk-qr.png","E. Generated artifacts","883"
"truck-safe-routing-preview-apk-qr.png","E. Generated artifacts","923"
"truck-safe-routing-unified-inventory-apk-qr.png","E. Generated artifacts","5258"
"truck-sprite-contact-sheet.png","E. Generated artifacts","302985"
".expo\devices.json","F. Local caches","567"
".expo\README.md","F. Local caches","756"
".expo-export-auto-next-stop-check\metadata.json","E. Generated artifacts","3733"
".expo-export-auto-next-stop-check\assets\0295009cf3d71a7cb5eee8dfca1c75c9","E. Generated artifacts","41715"
".expo-export-auto-next-stop-check\assets\02bc1fa7c0313217bde2d65ccbff40c9","E. Generated artifacts","167"
".expo-export-auto-next-stop-check\assets\0585fc9b2a0b3fb619e5709aa6dbee0a","E. Generated artifacts","43362"
".expo-export-auto-next-stop-check\assets\069d99eb1fa6712c0b9034a58c6b57dd","E. Generated artifacts","483"
".expo-export-auto-next-stop-check\assets\074034165586bf0f34beb45ce0953e6c","E. Generated artifacts","33771"
".expo-export-auto-next-stop-check\assets\0747a1317bbe9c6fc340b889ef8ab3ae","E. Generated artifacts","332"
".expo-export-auto-next-stop-check\assets\0a328cd9c1afd0afe8e3b1ec5165b1b4","E. Generated artifacts","653"
".expo-export-auto-next-stop-check\assets\105578fbb51e3ff43369d9d1de4c92d3","E. Generated artifacts","27720"
".expo-export-auto-next-stop-check\assets\1190ab078c57159f4245a328118fcd9a","E. Generated artifacts","201"
".expo-export-auto-next-stop-check\assets\11e2ae6f56b510f4d8d5946e77567c8d","E. Generated artifacts","19509"
".expo-export-auto-next-stop-check\assets\1bc6d65eed11bd7f288feb984a48c031","E. Generated artifacts","75586"
".expo-export-auto-next-stop-check\assets\25bc2c193502562bd86cf9366e9272a9","E. Generated artifacts","901"
".expo-export-auto-next-stop-check\assets\25e10726545e98b91661d5eebc9e1317","E. Generated artifacts","13388"
".expo-export-auto-next-stop-check\assets\2840d6b53d851cf77028337029e42578","E. Generated artifacts","37825"
".expo-export-auto-next-stop-check\assets\286d67d3f74808a60a78d3ebf1a5fb57","E. Generated artifacts","928"
".expo-export-auto-next-stop-check\assets\2dbb0ff60ced3bfb2caa1aa5d3ffb0b1","E. Generated artifacts","50914"
".expo-export-auto-next-stop-check\assets\31ccb51a74f79122a2f12b85866590f7","E. Generated artifacts","36622"
".expo-export-auto-next-stop-check\assets\3470dce0e1d665b8bac7ed14d02607d1","E. Generated artifacts","42544"
".expo-export-auto-next-stop-check\assets\35ba0eaec5a4f5ed12ca16fabeae451d","E. Generated artifacts","207"
".expo-export-auto-next-stop-check\assets\36e78ca123f4a897935f0488061f6382","E. Generated artifacts","23394"
".expo-export-auto-next-stop-check\assets\3923e812dab5f28c5158082b921b6ecf","E. Generated artifacts","31834"
".expo-export-auto-next-stop-check\assets\39c1884f0e9baf240d73bf8f5e35185a","E. Generated artifacts","34769"
".expo-export-auto-next-stop-check\assets\3cd68ccdb8938e3711da2e8831b85493","E. Generated artifacts","645"
".expo-export-auto-next-stop-check\assets\4403c6117ec30c859bc95d70ce4a71d3","E. Generated artifacts","258"
".expo-export-auto-next-stop-check\assets\4710a99dc03532328a22a5313700b30a","E. Generated artifacts","53331"
".expo-export-auto-next-stop-check\assets\4c7088ef3c8884c362118bc56eea43cd","E. Generated artifacts","212991"
".expo-export-auto-next-stop-check\assets\61420da02d4aa54f2d4749c0295032cc","E. Generated artifacts","37498"
".expo-export-auto-next-stop-check\assets\61ca7e64b7d605716c57706cef640b9a","E. Generated artifacts","220"
".expo-export-auto-next-stop-check\assets\6595d575c76a61765e8a4f511af25c17","E. Generated artifacts","44671"
".expo-export-auto-next-stop-check\assets\6692faddc3b3d87fe4e144c5593a2835","E. Generated artifacts","27324"
".expo-export-auto-next-stop-check\assets\6b2e6d0f71a71b5dd42b0a686867e866","E. Generated artifacts","43706"
".expo-export-auto-next-stop-check\assets\6ef0b7e19ae8d13c9c0b2557d9685b11","E. Generated artifacts","48736"
".expo-export-auto-next-stop-check\assets\778ffc9fe8773a878e9c30a6304784de","E. Generated artifacts","100"
".expo-export-auto-next-stop-check\assets\78c625386b4d0690b421eb0fc78f7b9c","E. Generated artifacts","266"
".expo-export-auto-next-stop-check\assets\7d5c5e804e97ff2d06cacc4ffb46d6ff","E. Generated artifacts","16924"
".expo-export-auto-next-stop-check\assets\856685e6214a374c6881b6b46cecba6f","E. Generated artifacts","38815"
".expo-export-auto-next-stop-check\assets\85fbc50211a65fc653ada401b0debb50","E. Generated artifacts","36724"
".expo-export-auto-next-stop-check\assets\864a604f0656f069f2eebdefa71d912e","E. Generated artifacts","43291"
".expo-export-auto-next-stop-check\assets\87336e7e5e694b6004472ebe8e7888e0","E. Generated artifacts","869"
".expo-export-auto-next-stop-check\assets\a46b6160d222956554d3fd3cc698091e","E. Generated artifacts","40420"
".expo-export-auto-next-stop-check\assets\ae76009cdf93663b746ae239333bdcb2","E. Generated artifacts","39462"
".expo-export-auto-next-stop-check\assets\aff2c65b39a296d4f7e96d0f58169170","E. Generated artifacts","334"
".expo-export-auto-next-stop-check\assets\baa3b96334d2eed3590852afff4d714b","E. Generated artifacts","41758"
".expo-export-auto-next-stop-check\assets\c2a51f3b197538b02e1372f3827b7c86","E. Generated artifacts","48220"
".expo-export-auto-next-stop-check\assets\c3273c9e5321f20d1e42c2efae2578c4","E. Generated artifacts","728"
".expo-export-auto-next-stop-check\assets\c4fab3189a051cbd2c24b9ba21db798a","E. Generated artifacts","46740"
".expo-export-auto-next-stop-check\assets\c79c3606a1cf168006ad3979763c7e0c","E. Generated artifacts","134"
".expo-export-auto-next-stop-check\assets\d71b21706eae41d993f3ecb6c30bd2ed","E. Generated artifacts","40929"
".expo-export-auto-next-stop-check\assets\d84e297c3b3e49a614248143d53e40ca","E. Generated artifacts","141"
".expo-export-auto-next-stop-check\assets\d8e7601e3df962f83c62371ac14964d8","E. Generated artifacts","502"
".expo-export-auto-next-stop-check\assets\e6b9ec1c2823d4a151a156f70db709cd","E. Generated artifacts","46820"
".expo-export-auto-next-stop-check\assets\e7458990debc1297554d785e4e22364a","E. Generated artifacts","35615"
".expo-export-auto-next-stop-check\assets\f5ad3266597e27aea536ef6f342de054","E. Generated artifacts","10285"
".expo-export-auto-next-stop-check\_expo\static\js\android\index-485574682c7449c0c8daa0525d6d63cf.hbc","E. Generated artifacts","2518065"
".expo-export-check\metadata.json","E. Generated artifacts","1557"
".expo-export-check\assets\02bc1fa7c0313217bde2d65ccbff40c9","E. Generated artifacts","167"
".expo-export-check\assets\069d99eb1fa6712c0b9034a58c6b57dd","E. Generated artifacts","483"
".expo-export-check\assets\0747a1317bbe9c6fc340b889ef8ab3ae","E. Generated artifacts","332"
".expo-export-check\assets\0a328cd9c1afd0afe8e3b1ec5165b1b4","E. Generated artifacts","653"
".expo-export-check\assets\1190ab078c57159f4245a328118fcd9a","E. Generated artifacts","201"
".expo-export-check\assets\286d67d3f74808a60a78d3ebf1a5fb57","E. Generated artifacts","928"
".expo-export-check\assets\35ba0eaec5a4f5ed12ca16fabeae451d","E. Generated artifacts","207"
".expo-export-check\assets\3cd68ccdb8938e3711da2e8831b85493","E. Generated artifacts","645"
".expo-export-check\assets\3f240743b19641e51f772e72f3974e5b","E. Generated artifacts","22602"
".expo-export-check\assets\4403c6117ec30c859bc95d70ce4a71d3","E. Generated artifacts","258"
".expo-export-check\assets\4c7088ef3c8884c362118bc56eea43cd","E. Generated artifacts","212991"
".expo-export-check\assets\61ca7e64b7d605716c57706cef640b9a","E. Generated artifacts","220"
".expo-export-check\assets\778ffc9fe8773a878e9c30a6304784de","E. Generated artifacts","100"
".expo-export-check\assets\78c625386b4d0690b421eb0fc78f7b9c","E. Generated artifacts","266"
".expo-export-check\assets\aff2c65b39a296d4f7e96d0f58169170","E. Generated artifacts","334"
".expo-export-check\assets\c3273c9e5321f20d1e42c2efae2578c4","E. Generated artifacts","728"
".expo-export-check\assets\c79c3606a1cf168006ad3979763c7e0c","E. Generated artifacts","134"
".expo-export-check\assets\d84e297c3b3e49a614248143d53e40ca","E. Generated artifacts","141"
".expo-export-check\assets\d8e7601e3df962f83c62371ac14964d8","E. Generated artifacts","502"
".expo-export-check\assets\f5ad3266597e27aea536ef6f342de054","E. Generated artifacts","10285"
".expo-export-check\_expo\static\js\android\index-80648dfaaa8bc1ed320c76afa8810dfe.hbc","E. Generated artifacts","2407408"
".expo-export-delivery-settlement-check\metadata.json","E. Generated artifacts","3733"
".expo-export-delivery-settlement-check\assets\0295009cf3d71a7cb5eee8dfca1c75c9","E. Generated artifacts","41715"
".expo-export-delivery-settlement-check\assets\02bc1fa7c0313217bde2d65ccbff40c9","E. Generated artifacts","167"
".expo-export-delivery-settlement-check\assets\0585fc9b2a0b3fb619e5709aa6dbee0a","E. Generated artifacts","43362"
".expo-export-delivery-settlement-check\assets\069d99eb1fa6712c0b9034a58c6b57dd","E. Generated artifacts","483"
".expo-export-delivery-settlement-check\assets\074034165586bf0f34beb45ce0953e6c","E. Generated artifacts","33771"
".expo-export-delivery-settlement-check\assets\0747a1317bbe9c6fc340b889ef8ab3ae","E. Generated artifacts","332"
".expo-export-delivery-settlement-check\assets\0a328cd9c1afd0afe8e3b1ec5165b1b4","E. Generated artifacts","653"
".expo-export-delivery-settlement-check\assets\105578fbb51e3ff43369d9d1de4c92d3","E. Generated artifacts","27720"
".expo-export-delivery-settlement-check\assets\1190ab078c57159f4245a328118fcd9a","E. Generated artifacts","201"
".expo-export-delivery-settlement-check\assets\11e2ae6f56b510f4d8d5946e77567c8d","E. Generated artifacts","19509"
".expo-export-delivery-settlement-check\assets\1bc6d65eed11bd7f288feb984a48c031","E. Generated artifacts","75586"
".expo-export-delivery-settlement-check\assets\25bc2c193502562bd86cf9366e9272a9","E. Generated artifacts","901"
".expo-export-delivery-settlement-check\assets\25e10726545e98b91661d5eebc9e1317","E. Generated artifacts","13388"
".expo-export-delivery-settlement-check\assets\2840d6b53d851cf77028337029e42578","E. Generated artifacts","37825"
".expo-export-delivery-settlement-check\assets\286d67d3f74808a60a78d3ebf1a5fb57","E. Generated artifacts","928"
".expo-export-delivery-settlement-check\assets\2dbb0ff60ced3bfb2caa1aa5d3ffb0b1","E. Generated artifacts","50914"
".expo-export-delivery-settlement-check\assets\31ccb51a74f79122a2f12b85866590f7","E. Generated artifacts","36622"
".expo-export-delivery-settlement-check\assets\3470dce0e1d665b8bac7ed14d02607d1","E. Generated artifacts","42544"
".expo-export-delivery-settlement-check\assets\35ba0eaec5a4f5ed12ca16fabeae451d","E. Generated artifacts","207"
".expo-export-delivery-settlement-check\assets\36e78ca123f4a897935f0488061f6382","E. Generated artifacts","23394"
".expo-export-delivery-settlement-check\assets\3923e812dab5f28c5158082b921b6ecf","E. Generated artifacts","31834"
".expo-export-delivery-settlement-check\assets\39c1884f0e9baf240d73bf8f5e35185a","E. Generated artifacts","34769"
".expo-export-delivery-settlement-check\assets\3cd68ccdb8938e3711da2e8831b85493","E. Generated artifacts","645"
".expo-export-delivery-settlement-check\assets\4403c6117ec30c859bc95d70ce4a71d3","E. Generated artifacts","258"
".expo-export-delivery-settlement-check\assets\4710a99dc03532328a22a5313700b30a","E. Generated artifacts","53331"
".expo-export-delivery-settlement-check\assets\4c7088ef3c8884c362118bc56eea43cd","E. Generated artifacts","212991"
".expo-export-delivery-settlement-check\assets\61420da02d4aa54f2d4749c0295032cc","E. Generated artifacts","37498"
".expo-export-delivery-settlement-check\assets\61ca7e64b7d605716c57706cef640b9a","E. Generated artifacts","220"
".expo-export-delivery-settlement-check\assets\6595d575c76a61765e8a4f511af25c17","E. Generated artifacts","44671"
".expo-export-delivery-settlement-check\assets\6692faddc3b3d87fe4e144c5593a2835","E. Generated artifacts","27324"
".expo-export-delivery-settlement-check\assets\6b2e6d0f71a71b5dd42b0a686867e866","E. Generated artifacts","43706"
".expo-export-delivery-settlement-check\assets\6ef0b7e19ae8d13c9c0b2557d9685b11","E. Generated artifacts","48736"
".expo-export-delivery-settlement-check\assets\778ffc9fe8773a878e9c30a6304784de","E. Generated artifacts","100"
".expo-export-delivery-settlement-check\assets\78c625386b4d0690b421eb0fc78f7b9c","E. Generated artifacts","266"
".expo-export-delivery-settlement-check\assets\7d5c5e804e97ff2d06cacc4ffb46d6ff","E. Generated artifacts","16924"
".expo-export-delivery-settlement-check\assets\856685e6214a374c6881b6b46cecba6f","E. Generated artifacts","38815"
".expo-export-delivery-settlement-check\assets\85fbc50211a65fc653ada401b0debb50","E. Generated artifacts","36724"
".expo-export-delivery-settlement-check\assets\864a604f0656f069f2eebdefa71d912e","E. Generated artifacts","43291"
".expo-export-delivery-settlement-check\assets\87336e7e5e694b6004472ebe8e7888e0","E. Generated artifacts","869"
".expo-export-delivery-settlement-check\assets\a46b6160d222956554d3fd3cc698091e","E. Generated artifacts","40420"
".expo-export-delivery-settlement-check\assets\ae76009cdf93663b746ae239333bdcb2","E. Generated artifacts","39462"
".expo-export-delivery-settlement-check\assets\aff2c65b39a296d4f7e96d0f58169170","E. Generated artifacts","334"
".expo-export-delivery-settlement-check\assets\baa3b96334d2eed3590852afff4d714b","E. Generated artifacts","41758"
".expo-export-delivery-settlement-check\assets\c2a51f3b197538b02e1372f3827b7c86","E. Generated artifacts","48220"
".expo-export-delivery-settlement-check\assets\c3273c9e5321f20d1e42c2efae2578c4","E. Generated artifacts","728"
".expo-export-delivery-settlement-check\assets\c4fab3189a051cbd2c24b9ba21db798a","E. Generated artifacts","46740"
".expo-export-delivery-settlement-check\assets\c79c3606a1cf168006ad3979763c7e0c","E. Generated artifacts","134"
".expo-export-delivery-settlement-check\assets\d71b21706eae41d993f3ecb6c30bd2ed","E. Generated artifacts","40929"
".expo-export-delivery-settlement-check\assets\d84e297c3b3e49a614248143d53e40ca","E. Generated artifacts","141"
".expo-export-delivery-settlement-check\assets\d8e7601e3df962f83c62371ac14964d8","E. Generated artifacts","502"
".expo-export-delivery-settlement-check\assets\e6b9ec1c2823d4a151a156f70db709cd","E. Generated artifacts","46820"
".expo-export-delivery-settlement-check\assets\e7458990debc1297554d785e4e22364a","E. Generated artifacts","35615"
".expo-export-delivery-settlement-check\assets\f5ad3266597e27aea536ef6f342de054","E. Generated artifacts","10285"
".expo-export-delivery-settlement-check\_expo\static\js\android\index-86ff1c442df081f2397eafb46bfc6048.hbc","E. Generated artifacts","2596463"
".expo-export-final-inventory-check\metadata.json","E. Generated artifacts","3541"
".expo-export-final-inventory-check\assets\0295009cf3d71a7cb5eee8dfca1c75c9","E. Generated artifacts","41715"
".expo-export-final-inventory-check\assets\02bc1fa7c0313217bde2d65ccbff40c9","E. Generated artifacts","167"
".expo-export-final-inventory-check\assets\0585fc9b2a0b3fb619e5709aa6dbee0a","E. Generated artifacts","43362"
".expo-export-final-inventory-check\assets\069d99eb1fa6712c0b9034a58c6b57dd","E. Generated artifacts","483"
".expo-export-final-inventory-check\assets\074034165586bf0f34beb45ce0953e6c","E. Generated artifacts","33771"
".expo-export-final-inventory-check\assets\0747a1317bbe9c6fc340b889ef8ab3ae","E. Generated artifacts","332"
".expo-export-final-inventory-check\assets\0a328cd9c1afd0afe8e3b1ec5165b1b4","E. Generated artifacts","653"
".expo-export-final-inventory-check\assets\105578fbb51e3ff43369d9d1de4c92d3","E. Generated artifacts","27720"
".expo-export-final-inventory-check\assets\1190ab078c57159f4245a328118fcd9a","E. Generated artifacts","201"
".expo-export-final-inventory-check\assets\11e2ae6f56b510f4d8d5946e77567c8d","E. Generated artifacts","19509"
".expo-export-final-inventory-check\assets\1bc6d65eed11bd7f288feb984a48c031","E. Generated artifacts","75586"
".expo-export-final-inventory-check\assets\25bc2c193502562bd86cf9366e9272a9","E. Generated artifacts","901"
".expo-export-final-inventory-check\assets\25e10726545e98b91661d5eebc9e1317","E. Generated artifacts","13388"
".expo-export-final-inventory-check\assets\2840d6b53d851cf77028337029e42578","E. Generated artifacts","37825"
".expo-export-final-inventory-check\assets\286d67d3f74808a60a78d3ebf1a5fb57","E. Generated artifacts","928"
".expo-export-final-inventory-check\assets\2dbb0ff60ced3bfb2caa1aa5d3ffb0b1","E. Generated artifacts","50914"
".expo-export-final-inventory-check\assets\31ccb51a74f79122a2f12b85866590f7","E. Generated artifacts","36622"
".expo-export-final-inventory-check\assets\3470dce0e1d665b8bac7ed14d02607d1","E. Generated artifacts","42544"
".expo-export-final-inventory-check\assets\35ba0eaec5a4f5ed12ca16fabeae451d","E. Generated artifacts","207"
".expo-export-final-inventory-check\assets\36e78ca123f4a897935f0488061f6382","E. Generated artifacts","23394"
".expo-export-final-inventory-check\assets\3923e812dab5f28c5158082b921b6ecf","E. Generated artifacts","31834"
".expo-export-final-inventory-check\assets\39c1884f0e9baf240d73bf8f5e35185a","E. Generated artifacts","34769"
".expo-export-final-inventory-check\assets\3cd68ccdb8938e3711da2e8831b85493","E. Generated artifacts","645"
".expo-export-final-inventory-check\assets\4403c6117ec30c859bc95d70ce4a71d3","E. Generated artifacts","258"
